PHONE_AREA_CODE,IMPUTED_AREA
000,NORTH YORK
014,TORONTO
031,TORONTO
111,TORONTO
131,ETOBICOKE
134,ETOBICOKE
161,RICHMOND HILL
163,RICHMOND HILL
164,TORONTO
171,RICHMOND HILL
191,RICHMOND HILL
201,TORONTO
202,TORONTO
203,TORONTO
205,ETOBICOKE
206,TORONTO
207,TORONTO
209,RICHMOND HILL
210,TORONTO
211,TORONTO
212,TORONTO
213,TORONTO
214,TORONTO
215,TORONTO
216,ETOBICOKE
217,RICHMOND HILL
218,RICHMOND HILL
223,TORONTO
224,TORONTO
225,RICHMOND HILL
229,ETOBICOKE
239,TORONTO
240,RICHMOND HILL
248,RICHMOND HILL
251,RICHMOND HILL
253,TORONTO
260,TORONTO
267,RICHMOND HILL
281,TORONTO
301,TORONTO
302,RICHMOND HILL
303,TORONTO
305,TORONTO
308,ETOBICOKE
309,ETOBICOKE
310,TORONTO
312,TORONTO
313,RICHMOND HILL
314,TORONTO
315,ETOBICOKE
316,ETOBICOKE
317,TORONTO
319,RICHMOND HILL
321,NORTH YORK
322,TORONTO
323,TORONTO
326,RICHMOND HILL
330,TORONTO
331,NORTH YORK
332,TORONTO
333,TORONTO
334,RICHMOND HILL
336,ETOBICOKE
339,TORONTO
343,RICHMOND HILL
345,ETOBICOKE
346,ETOBICOKE
347,RICHMOND HILL
348,TORONTO
350,RICHMOND HILL
352,TORONTO
360,TORONTO
361,RICHMOND HILL
371,TORONTO
385,TORONTO
386,TORONTO
397,TORONTO
401,TORONTO
402,TORONTO
404,TORONTO
405,RICHMOND HILL
407,TORONTO
408,RICHMOND HILL
410,RICHMOND HILL
412,TORONTO
413,TORONTO
414,TORONTO
415,TORONTO
416,TORONTO
417,RICHMOND HILL
419,ETOBICOKE
423,TORONTO
424,TORONTO
425,ETOBICOKE
430,ETOBICOKE
434,TORONTO
435,TORONTO
440,RICHMOND HILL
442,TORONTO
443,TORONTO
469,TORONTO
470,RICHMOND HILL
475,ETOBICOKE
480,SCARBOROUGH
484,RICHMOND HILL
501,RICHMOND HILL
502,TORONTO
503,TORONTO
504,TORONTO
505,RICHMOND HILL
508,RICHMOND HILL
509,TORONTO
510,TORONTO
512,TORONTO
513,RICHMOND HILL
515,TORONTO
516,ETOBICOKE
518,ETOBICOKE
520,TORONTO
530,TORONTO
540,TORONTO
541,TORONTO
551,TORONTO
559,TORONTO
561,RICHMOND HILL
562,TORONTO
570,TORONTO
571,TORONTO
573,ETOBICOKE
574,TORONTO
575,RICHMOND HILL
585,RICHMOND HILL
586,TORONTO
601,TORONTO
602,TORONTO
603,RICHMOND HILL
604,TORONTO
607,TORONTO
608,RICHMOND HILL
609,TORONTO
610,SCARBOROUGH
612,RICHMOND HILL
614,TORONTO
615,RICHMOND HILL
616,RICHMOND HILL
617,TORONTO
618,TORONTO
619,ETOBICOKE
623,ETOBICOKE
626,ETOBICOKE
628,NORTH YORK
630,RICHMOND HILL
631,TORONTO
636,TORONTO
643,ETOBICOKE
644,NORTH YORK
645,TORONTO
646,TORONTO
647,RICHMOND HILL
650,TORONTO
651,RICHMOND HILL
656,TORONTO
660,TORONTO
661,TORONTO
667,ETOBICOKE
678,TORONTO
700,ETOBICOKE
702,TORONTO
703,ETOBICOKE
704,TORONTO
706,RICHMOND HILL
707,TORONTO
708,TORONTO
713,TORONTO
714,TORONTO
715,ETOBICOKE
716,TORONTO
717,RICHMOND HILL
718,ETOBICOKE
719,RICHMOND HILL
720,TORONTO
724,RICHMOND HILL
725,TORONTO
727,TORONTO
731,RICHMOND HILL
732,TORONTO
734,TORONTO
740,TORONTO
743,ETOBICOKE
747,TORONTO
754,RICHMOND HILL
757,RICHMOND HILL
760,ETOBICOKE
770,RICHMOND HILL
772,TORONTO
773,RICHMOND HILL
774,RICHMOND HILL
775,TORONTO
778,TORONTO
781,TORONTO
786,TORONTO
787,NORTH YORK
800,TORONTO
801,TORONTO
802,RICHMOND HILL
803,TORONTO
804,TORONTO
805,TORONTO
808,TORONTO
813,TORONTO
814,RICHMOND HILL
815,TORONTO
816,RICHMOND HILL
817,ETOBICOKE
818,TORONTO
831,RICHMOND HILL
832,RICHMOND HILL
833,TORONTO
838,TORONTO
843,ETOBICOKE
844,TORONTO
845,TORONTO
847,RICHMOND HILL
848,RICHMOND HILL
850,NORTH YORK
854,ETOBICOKE
855,TORONTO
856,TORONTO
857,TORONTO
858,TORONTO
859,RICHMOND HILL
860,TORONTO
862,NORTH YORK
863,TORONTO
864,TORONTO
865,NORTH YORK
866,TORONTO
870,ETOBICOKE
872,ETOBICOKE
877,TORONTO
886,TORONTO
888,RICHMOND HILL
901,ETOBICOKE
904,TORONTO
905,RICHMOND HILL
906,RICHMOND HILL
908,TORONTO
909,TORONTO
910,NORTH YORK
912,RICHMOND HILL
913,NORTH YORK
914,TORONTO
915,TORONTO
916,TORONTO
917,TORONTO
918,NORTH YORK
919,ETOBICOKE
924,RICHMOND HILL
925,ETOBICOKE
928,TORONTO
929,ETOBICOKE
931,SCARBOROUGH
934,ETOBICOKE
937,ETOBICOKE
939,TORONTO
941,RICHMOND HILL
947,NORTH YORK
949,TORONTO
951,TORONTO
952,RICHMOND HILL
954,TORONTO
956,TORONTO
959,NORTH YORK
962,TORONTO
970,RICHMOND HILL
971,RICHMOND HILL
972,TORONTO
973,TORONTO
978,TORONTO
980,TORONTO
984,TORONTO
nan,TORONTO
